,Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType
20,413741,Mitchell,Hinchliff,Mitchell Hinchliff,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Urban,0.0,Married,Star,7/30/2018,,3885.46,Standard
21,552965,Lia,Broome,Lia Broome,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Married,Star,11/18/2021,,3885.46,Standard
22,642313,Michel,Theuret,Michel Theuret,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Suburban,0.0,Married,Star,3/22/2019,,3885.46,Standard
23,263080,Tracy,Hergenreter,Tracy Hergenreter,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Urban,0.0,Single,Star,5/21/2017,,3886.5,Standard
24,109767,Ami,Grosbier,Ami Grosbier,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,78108.0,Single,Star,5/21/2019,,3886.65,Standard
25,217754,Mitzi,Roaoo,Mitzi Roaoo,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,96335.0,Single,Star,6/20/2018,,3887.32,Standard
26,157005,Tanika,Quire,Tanika Quire,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Rural,91182.0,Married,Star,10/31/2019,,3890.87,Standard
27,557752,Sherilyn,Fujikawa,Sherilyn Fujikawa,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,female,Bachelor,Suburban,91182.0,Married,Star,10/9/2020,,3890.87,Standard
28,608758,Rhona,Interiano,Rhona Interiano,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,male,Bachelor,Rural,43578.0,Married,Star,7/15/2016,,3890.96,Standard
29,599341,Shaunna,Books,Shaunna Books,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,Bachelor,Rural,31409.0,Married,Star,11/22/2018,,3891.54,Standard
30,333502,Shawnda,Valladares,Shawnda Valladares,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Urban,0.0,Married,Star,3/4/2017,,3891.58,Standard
31,201574,Trudy,Roscoe,Trudy Roscoe,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Suburban,26605.0,Married,Star,4/6/2018,12/6/2018,3893.31,Standard
32,403361,Inell,Zeno,Inell Zeno,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,male,Bachelor,Rural,52361.0,Single,Star,10/24/2020,,3895.03,Standard
33,543918,Penni,Gess,Penni Gess,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,male,High School or Below,Urban,10853.0,Married,Star,11/19/2015,,3896.57,Standard
34,806030,Rasheeda,Simenson,Rasheeda Simenson,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,female,Bachelor,Urban,60068.0,Married,Star,5/3/2021,,3903.47,Standard
35,119200,Bari,Seraille,Bari Seraille,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Rural,51833.0,Divorced,Star,5/8/2020,,3903.8,Standard
36,175967,Jolyn,Podvin,Jolyn Podvin,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Suburban,60230.0,Married,Star,2/15/2021,,3906.67,2021 Promotion
37,238119,Aundrea,Difranco,Aundrea Difranco,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,60230.0,Married,Star,5/19/2016,,3906.67,Standard
38,730388,Gaynelle,Garnette,Gaynelle Garnette,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Rural,0.0,Single,Star,5/2/2015,,3907.03,Standard
39,834891,Wendell,Besley,Wendell Besley,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,30821.0,Married,Star,3/8/2020,4/18/2020,3911.12,Standard
40,127400,Cassandra,Easlick,Cassandra Easlick,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,6/26/2017,,3914.72,Standard
41,324557,Bethanie,Kolander,Bethanie Kolander,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,College,Urban,0.0,Single,Star,2/24/2016,,3914.72,Standard
42,742002,Carolyne,Purdue,Carolyne Purdue,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Urban,0.0,Single,Star,5/15/2019,,3915.8,Standard
43,536567,Clint,Maravilla,Clint Maravilla,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,male,Bachelor,Suburban,66676.0,Married,Star,5/12/2019,,3919.37,Standard
44,704835,Elvina,Kurtich,Elvina Kurtich,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Urban,66676.0,Married,Star,9/17/2019,,3919.37,Standard
45,733338,Raphael,Muskrat,Raphael Muskrat,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Rural,66676.0,Married,Star,6/3/2019,2/3/2020,3919.37,Standard
46,758635,Stephany,Loft,Stephany Loft,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Suburban,66676.0,Married,Star,6/20/2021,,3919.37,Standard
47,823048,Echo,Wendy,Echo Wendy,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,66676.0,Married,Star,5/9/2021,,3919.37,Standard
48,612905,Frankie,Lapitan,Frankie Lapitan,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Rural,0.0,Married,Star,2/28/2018,,3920.51,Standard
49,679908,Deon,Biery,Deon Biery,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,Bachelor,Rural,62445.0,Married,Star,8/15/2018,,3921.02,Standard
50,704150,Raymond,Hokkanen,Raymond Hokkanen,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,male,Bachelor,Urban,62445.0,Married,Star,10/27/2017,,3921.02,Standard
51,869743,Sima,Parton,Sima Parton,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,Bachelor,Suburban,56480.0,Single,Star,11/10/2019,7/10/2020,3924.42,Standard
52,596179,Kathryne,Kloeck,Kathryne Kloeck,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,Bachelor,Suburban,25927.0,Single,Star,3/28/2017,,3933.81,Standard
53,370450,Cathryn,Sundell,Cathryn Sundell,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,High School or Below,Urban,20920.0,Married,Star,11/2/2015,,3934.1,Standard
54,501030,Ciera,Kalfa,Ciera Kalfa,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,84229.0,Married,Star,3/25/2020,,3934.71,Standard
55,878633,Victor,Toplin,Victor Toplin,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Rural,19245.0,Married,Star,12/2/2016,,3936.79,Standard
56,285938,Glen,Randall,Glen Randall,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,Bachelor,Suburban,60021.0,Married,Star,9/3/2017,,3939.01,Standard
57,588237,Teresia,Mckendry,Teresia Mckendry,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,male,Bachelor,Rural,60021.0,Married,Star,11/25/2016,,3939.01,Standard
58,645280,Natalya,Boardwine,Natalya Boardwine,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,male,Bachelor,Suburban,60021.0,Married,Star,12/15/2015,,3939.01,Standard
59,864324,Cherri,Flavell,Cherri Flavell,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Rural,60021.0,Married,Star,6/3/2021,,3939.01,Standard
60,124678,Eddie,Ribsamen,Eddie Ribsamen,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,male,Doctor,Urban,18375.0,Married,Star,6/13/2016,,3954.34,Standard
61,186015,Florrie,Thach,Florrie Thach,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Rural,18375.0,Married,Star,9/5/2018,,3954.34,Standard
62,461108,Polly,Mayville,Polly Mayville,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Doctor,Urban,18375.0,Married,Star,10/15/2021,,3954.34,Standard
63,589580,Elodia,Kieffer,Elodia Kieffer,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Doctor,Suburban,18375.0,Married,Star,8/27/2018,,3954.34,Standard
64,623688,Dwayne,Cimaglia,Dwayne Cimaglia,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Rural,18375.0,Married,Star,5/7/2019,,3954.34,Standard
65,751616,Rocco,Niederhauser,Rocco Niederhauser,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Suburban,18375.0,Married,Star,4/17/2021,,3954.34,2021 Promotion
66,256147,Joleen,Gessford,Joleen Gessford,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Suburban,0.0,Married,Star,9/4/2015,,3958.0,Standard
67,329382,Ngoc,Dubuisson,Ngoc Dubuisson,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,College,Suburban,0.0,Single,Star,8/27/2015,,3961.59,2021 Promotion
68,140392,Hilary,Shain,Hilary Shain,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,88701.0,Married,Star,7/22/2016,,3963.39,Standard
69,541008,Jeanmarie,Resch,Jeanmarie Resch,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,male,Bachelor,Suburban,38096.0,Divorced,Star,4/4/2021,,3963.4,2021 Promotion
70,230908,Carmelia,Burkham,Carmelia Burkham,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Suburban,23474.0,Divorced,Star,5/27/2015,,3964.15,Standard
71,972581,Quiana,Ciolli,Quiana Ciolli,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,High School or Below,Rural,14616.0,Married,Star,2/13/2019,,3964.53,Standard
72,357549,Elisha,Furna,Elisha Furna,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Rural,60817.0,Single,Star,9/21/2021,5/21/2019,3964.73,Standard
73,157729,Tobi,Kriss,Tobi Kriss,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,male,Bachelor,Rural,72439.0,Married,Star,3/18/2021,,3966.13,2021 Promotion
74,910875,Alaina,Rumble,Alaina Rumble,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Bachelor,Urban,72439.0,Married,Star,11/3/2015,,3966.13,Standard
75,501704,Jadwiga,Howry,Jadwiga Howry,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,College,Suburban,0.0,Divorced,Star,5/3/2016,,3974.86,Standard
76,529098,Sherril,Roofner,Sherril Roofner,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Urban,0.0,Divorced,Star,10/23/2020,,3974.86,Standard
77,265297,Ebonie,Radde,Ebonie Radde,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,39101.0,Married,Star,7/17/2021,3/17/2019,3978.67,Standard
78,567875,Lady,Tlumacki,Lady Tlumacki,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Suburban,96413.0,Married,Star,5/15/2020,,3979.72,Standard
79,688524,Darius,Dehnert,Darius Dehnert,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,98333.0,Married,Star,3/26/2016,,3980.42,Standard
80,269070,Virginia,Swida,Virginia Swida,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Master,Rural,17220.0,Married,Star,1/14/2016,,3985.32,Standard
81,387705,Paulene,Saluan,Paulene Saluan,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Master,Suburban,17220.0,Married,Star,4/30/2016,,3985.32,Standard
82,923293,Lauretta,Craze,Lauretta Craze,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,male,Bachelor,Suburban,75007.0,Divorced,Star,6/12/2019,,3985.55,Standard
83,283314,Vi,Scialdone,Vi Scialdone,Canada,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Suburban,54964.0,Married,Star,4/17/2016,2/3/2018,3991.73,Standard
84,322102,Hermelinda,Hilst,Hermelinda Hilst,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Suburban,0.0,Married,Star,8/19/2016,4/19/2017,3992.58,Standard
85,789157,Lenora,Millhiser,Lenora Millhiser,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Rural,0.0,Single,Star,9/25/2021,,3995.36,Standard
86,654748,Lona,Hyer,Lona Hyer,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Rural,46210.0,Married,Star,4/3/2020,12/3/2020,3996.77,Standard
87,984713,Remedios,Swinea,Remedios Swinea,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,College,Suburban,0.0,Single,Star,8/4/2021,,3997.48,Standard
88,114835,Willard,Powal,Willard Powal,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Master,Suburban,19782.0,Divorced,Star,7/3/2020,,4001.52,Standard
89,328936,Yvonne,Tear,Yvonne Tear,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Suburban,28987.0,Married,Star,3/21/2018,,4005.72,Standard
90,845864,Josue,Disalvi,Josue Disalvi,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Doctor,Urban,15413.0,Married,Star,4/24/2016,,4013.85,Standard
91,645265,Stella,Nageotte,Stella Nageotte,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,56586.0,Married,Star,3/5/2016,,4013.95,Standard
92,223587,Nelia,Gallipo,Nelia Gallipo,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Rural,93284.0,Married,Star,8/20/2020,,4013.96,Standard
93,158560,Hulda,Kvam,Hulda Kvam,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,Bachelor,Suburban,37384.0,Married,Star,12/11/2018,,4014.45,Standard
94,417584,Lucina,Moncion,Lucina Moncion,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Suburban,37384.0,Married,Star,5/17/2017,,4014.45,Standard
95,566033,Cruz,Arlt,Cruz Arlt,Canada,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,male,College,Urban,0.0,Married,Star,6/16/2018,7/23/2019,4015.21,Standard
96,957912,Lacy,Georgopoulos,Lacy Georgopoulos,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,80055.0,Married,Star,2/17/2021,,4015.34,2021 Promotion
97,425854,Tobi,Sather,Tobi Sather,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,High School or Below,Rural,10074.0,Married,Star,11/22/2019,,4016.13,Standard
98,174896,Freeman,Decristoforo,Freeman Decristoforo,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,College,Urban,0.0,Single,Star,4/16/2018,12/16/2018,4016.54,Standard
99,695855,Mac,Dering,Mac Dering,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,College,Suburban,0.0,Divorced,Star,4/7/2016,,4019.38,Standard
100,699511,Tiffany,Baradi,Tiffany Baradi,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,College,Rural,0.0,Divorced,Star,7/6/2017,,4019.38,Standard
101,377322,Lura,Blyden,Lura Blyden,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Urban,41833.0,Married,Star,5/8/2019,,4023.81,Standard
102,511053,Meghan,Douyon,Meghan Douyon,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Suburban,41833.0,Married,Star,3/13/2018,,4023.81,Standard
103,890753,Faustina,Sempek,Faustina Sempek,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,College,Urban,0.0,Married,Star,9/2/2020,,4025.1,Standard
104,796670,Maryetta,Castera,Maryetta Castera,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Suburban,21359.0,Married,Star,2/12/2017,,4035.68,Standard
105,556136,Grisel,Kapps,Grisel Kapps,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,College,Rural,0.0,Married,Star,1/25/2020,,4035.77,Standard
106,513081,Louis,Beaucage,Louis Beaucage,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Rural,90760.0,Married,Star,11/5/2018,,4037.5,Standard
107,930718,Willena,Ledee,Willena Ledee,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,High School or Below,Suburban,21586.0,Married,Star,7/14/2018,,4037.55,Standard
108,235872,Ima,Ghiloni,Ima Ghiloni,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,Doctor,Urban,13330.0,Single,Star,3/20/2016,,4046.94,Standard
109,881142,Luanna,Hatlee,Luanna Hatlee,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,female,Doctor,Suburban,13330.0,Single,Star,9/27/2019,5/27/2020,4046.94,Standard
110,295147,Timothy,Loli,Timothy Loli,Canada,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,male,Bachelor,Urban,92801.0,Married,Star,5/21/2020,,4048.16,Standard
111,306110,Janel,Ynocencio,Janel Ynocencio,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,44661.0,Married,Star,5/12/2016,,4053.37,Standard
112,295217,Ruthanne,Cavicchi,Ruthanne Cavicchi,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Doctor,Urban,11621.0,Divorced,Star,6/6/2019,,4059.57,Standard
113,711363,Mariella,Corkron,Mariella Corkron,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,male,College,Suburban,0.0,Married,Star,4/24/2021,12/24/2021,4064.11,2021 Promotion
114,591731,Mindy,Sadee,Mindy Sadee,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,male,Bachelor,Rural,26599.0,Married,Star,9/25/2016,,4064.18,Standard
115,326905,Joel,Guyette,Joel Guyette,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,College,Urban,0.0,Married,Star,2/7/2020,,4068.09,Standard
116,375511,Brandon,Geissler,Brandon Geissler,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Urban,37435.0,Single,Star,7/6/2017,,4070.05,Standard
117,485283,Magali,Bilich,Magali Bilich,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,96443.0,Single,Star,9/5/2020,,4072.85,Standard
118,760158,Claudette,Ganga,Claudette Ganga,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,29549.0,Divorced,Star,2/18/2021,,4076.63,2021 Promotion
119,797685,Malka,Policicchio,Malka Policicchio,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Suburban,0.0,Married,Star,6/3/2020,,4079.13,Standard
120,216467,Misti,Hussein,Misti Hussein,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,male,Doctor,Suburban,13483.0,Married,Star,7/13/2017,,4083.56,Standard
121,958839,Carleen,Isaac,Carleen Isaac,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,Doctor,Rural,13483.0,Married,Star,8/16/2021,,4083.56,Standard
122,539673,Song,Wiesen,Song Wiesen,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,Bachelor,Urban,24123.0,Married,Star,2/20/2018,6/6/2021,4087.51,Standard
123,746226,Theodora,Sampieri,Theodora Sampieri,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Urban,43177.0,Married,Star,1/17/2021,,4089.04,Standard
124,484718,Rubi,Mccluney,Rubi Mccluney,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,60759.0,Single,Star,6/24/2015,,4089.46,Standard
125,528492,Lynn,Chestnut,Lynn Chestnut,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,38884.0,Married,Star,6/9/2018,11/18/2021,4090.75,Standard
126,995091,Devon,Arns,Devon Arns,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Suburban,32180.0,Married,Star,9/15/2020,,4095.2,Standard
127,632793,Kenneth,Mcfan,Kenneth Mcfan,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,High School or Below,Suburban,20079.0,Single,Star,6/21/2019,,4097.37,Standard
128,912220,Jammie,Hyon,Jammie Hyon,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,High School or Below,Suburban,20079.0,Single,Star,8/18/2016,4/18/2017,4097.37,Standard
129,382197,Marianne,Kirtley,Marianne Kirtley,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Rural,51193.0,Married,Star,10/30/2020,6/30/2021,4100.47,Standard
130,705196,Eddy,Bitner,Eddy Bitner,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,11/26/2016,,4101.94,Standard
131,123094,Clara,Driesenga,Clara Driesenga,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Urban,82427.0,Married,Star,1/16/2021,,4103.85,Standard
132,821515,Tabitha,Forkey,Tabitha Forkey,Canada,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Rural,39492.0,Married,Star,3/12/2021,,4105.58,2021 Promotion
133,119488,Britteny,Course,Britteny Course,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,College,Suburban,0.0,Single,Star,6/27/2020,,4108.26,Standard
134,287750,Angella,Kuchta,Angella Kuchta,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,College,Rural,0.0,Single,Star,8/21/2015,,4109.31,Standard
135,735846,Warner,Brogley,Warner Brogley,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Rural,86657.0,Married,Star,8/31/2015,,4109.79,Standard
136,606026,Joyce,Cocca,Joyce Cocca,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Suburban,31842.0,Single,Star,7/24/2018,,4110.62,Standard
137,460291,Yolando,Pecue,Yolando Pecue,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,Bachelor,Urban,32210.0,Divorced,Star,9/2/2018,,4111.2,Standard
